"SR. NO 
","SYMBOL 
","COMPANY NAME 
","ISIN 
","ESM STAGE 
"
172,"USK","Udayshivakumar Infra Limited","INE0N0Y01013","ESM - I (34)"
173,"VASWANI","Vaswani Industries Limited","INE590L01019","ESM - I (34)"
174,"VIJIFIN","Viji Finance Limited","INE159N01027","ESM II & GSM 0 (37)"
175,"VINEETLAB","Vineet Laboratories Limited","INE505Y01010","ESM - I (34)"
176,"VIPULLTD","Vipul Limited","INE946H01037","ESM - II (35)"
177,"VISESHINFO","Visesh Infotecnics Limited","INE861A01058","ESM - I (34)"
178,"VIVIDHA","Visagar Polytex Limited","INE370E01029","ESM - I (34)"
179,"VSTL","Vibhor Steel Tubes Limited","INE0QTF01015","ESM - I (34)"
180,"YAARI","Yaari Digital Integrated Services Limited","INE126M01010","ESM I & GSM 0 (36)"
181,"ZEELEARN","Zee Learn Limited","INE565L01011","ESM - I (34)"
182,"ZODIAC","Zodiac Energy Limited","INE761Y01019","ESM - II (35)"
